Nº Máquinas,Tamanho Vetor,Tempo de Resposta
1,50000,159834.0
1,100000,383532.0
1,500000,1528481.0
1,1000000,3076875.0
2,50000,80780.0
2,100000,158532.0
2,500000,771079.0
2,1000000,1527908.0
3,50000,52013.0
3,100000,106034.0
3,500000,514115.0
3,1000000,1023611.0
4,50000,35584.0
4,100000,78232.0
4,500000,386687.0
4,1000000,768340.0
5,50000,28791.0
5,100000,63605.0
5,500000,305472.0
5,1000000,614128.0
6,50000,27257.0
6,100000,52633.0
6,500000,255191.0
6,1000000,505562.0
7,50000,16465.0
7,100000,44256.0
7,500000,132829.0
7,1000000,355787.0
8,50000,17942.0
8,100000,37971.0
8,500000,189201.0
8,1000000,372554.0
